image_id,method,psnr,ssim,rmse,mae,bias,r2,pearson,psnr_norm,ssim_norm,rmse_norm,mae_norm,bias_norm,r2_norm,pearson_norm
ntl_chip_Burglengenfeld_1235,learned,32.26853561401367,0.9148773550987244,0.0243539586663246,0.0153898950666189,-0.0004573172482196,0.960360586643219,0.9800480008125304,0.2074934001945146,0.8433373415193949,0.7627902975841664,0.8070425155433029,0.8950394298975467,0.9999999999963316,0.9845782229854682
ntl_chip_Buriti_do_Tocantins_815,learned,35.73482131958008,0.9041239619255066,0.016339948400855,0.0102976793423295,0.0001497364137321,0.902428388595581,0.9502755999565125,0.2650456738113138,0.8235437777299914,0.8408506686575997,0.870888378833233,0.9656334428416942,0.9999999999909699,0.9546682007166339
ntl_chip_Buug_82,learned,29.881778717041016,0.7470016479492188,0.0320559777319431,0.0214342847466468,-0.000712388602551,0.6653627157211304,0.8159241080284119,0.167865020522647,0.5343317593157411,0.6877688730587501,0.7312583582969054,0.8364970616145715,0.9999999999690302,0.8196956758317849
ntl_chip_Cadale_282,learned,25.113439559936523,0.657365620136261,0.055504385381937,0.0425193235278129,-0.0035193422809243,0.589165210723877,0.7686672806739807,0.08869417796149338,0.3693404485950137,0.4593699389912006,0.4668955393644725,0.19226275932172165,0.9999999999619783,0.7722204061899085
ntl_chip_Cadiz_1339,learned,33.67826461791992,0.9587897658348083,0.0207053087651729,0.0111034708097577,-0.0005616199923679,0.9858505725860596,0.992965042591095,0.23089975392584752,0.9241660705587029,0.7983299282766981,0.8607854188144306,0.8711005219913246,0.9999999999986906,0.9975549731344651
ntl_chip_Canarana_I_872,learned,39.792598724365234,0.9423055648803712,0.0102411666885018,0.0068732416257262,0.0004920846549794,0.9558782577514648,0.97784161567688,0.3324187455408699,0.893823919216034,0.90025577893222,0.9138237519864677,0.8870598340071678,0.9999999999959167,0.9823616389464422
ntl_chip_Cantonment_108,learned,34.89923095703125,0.9439866542816162,0.0179900228977203,0.0126921720802783,-0.0026667164638638,0.9905542731285096,0.9953988194465636,0.2511719977032699,0.8969182681125392,0.8247781377701482,0.8408663875678997,0.3879520585798304,0.9999999999991259,1.0
ntl_chip_Carlos_Casares_697,learned,38.64912414550781,0.9517344832420348,0.0116822915151715,0.0065102875232696,0.0005102076102048,0.9463330507278442,0.9730339646339417,0.31343313170916093,0.911179547718625,0.8862185198064504,0.9183744464700949,0.8829003676415217,0.9999999999950333,0.9775317647804157
ntl_chip_Chencha_1340,learned,27.16399383544922,0.723497748374939,0.0438327938318252,0.0317388735711574,-0.0008167849155142,0.7404232025146484,0.8606744408607483,0.1227404369126493,0.4910685838669047,0.5730569367911578,0.6020601065004432,0.8125366783841756,0.9999999999759769,0.8646528648077749
ntl_chip_Chengam_1585,learned,28.79819869995117,0.7968126535415649,0.0363151952624321,0.0255993213504552,-0.0010671018389984,0.8779060244560242,0.9370826482772828,0.14987386257248014,0.6260179183471059,0.6462820156803661,0.6790374053753921,0.7550855170788021,0.9999999999887006,0.9414142652874511
ntl_chip_Cherutana_Tekku_1508,learned,32.867759704589844,0.8835864067077637,0.0227304343134164,0.0162477176636457,-0.0015029482310637,0.9757290482521056,0.9878759384155272,0.21744258261858201,0.7857406952301121,0.7786042171121749,0.7962871926696969,0.6550528024449904,0.9999999999977538,0.9924423448329796
ntl_chip_Ciudad_del_Plata_608,learned,32.99720001220703,0.9364320635795592,0.0223942026495933,0.0126917222514748,-0.0005803213571198,0.9873855710029602,0.9937132000923156,0.21959173725666162,0.8830126784483927,0.7818792776093841,0.8408720274916278,0.8668083027197026,0.9999999999988325,0.9983065889557864
ntl_chip_Cloppenburg_1251,learned,32.19232177734375,0.9148143529891968,0.0245685949921607,0.0141418101266026,-0.0002377344499109,0.917333960533142,0.9578644037246704,0.20622798817888943,0.8432213747493054,0.76069963502128,0.8226909218106201,0.9454366886602557,0.9999999999923495,0.9622920833452845
ntl_chip_Covington_418,learned,34.86913299560547,0.9426565766334534,0.0180524699389934,0.010356830433011,-0.0003954540006816,0.9642205834388732,0.9821078777313232,0.25067226794686154,0.894470019792247,0.8241698731120382,0.870146746378212,0.9092378922456357,0.9999999999966886,0.9866476215808353
ntl_chip_Cuapiaxtla_de_Madero_1935,learned,28.91883850097656,0.9011663794517516,0.0358142964541912,0.023098949342966,-0.0010637906379997,0.9429086446762084,0.971143364906311,0.15187689850992173,0.818099812609987,0.6511610145269234,0.7103869039056023,0.7558454830453175,0.9999999999947164,0.9756324258514406
ntl_chip_Cunupia_380,learned,31.83332252502441,0.9281285405158995,0.0256053414195776,0.016813475638628,-0.0010600266978144,0.985264539718628,0.9926581382751464,0.2002673649202441,0.867728543404705,0.7506012188535441,0.7891937566721581,0.7567093588541103,0.9999999999986362,0.997246650168883
ntl_chip_Currumbin_726,learned,33.78932189941406,0.9511353373527528,0.0204422511160373,0.0105431526899337,-0.0002603945904411,0.9813830256462096,0.9907070398330688,0.2327436870561791,0.9100767114149921,0.8008922381596424,0.8678106502684939,0.9402358761435377,0.9999999999982769,0.9952865328732222
ntl_chip_Cuttack_1651,learned,32.344608306884766,0.8851513862609863,0.0241415910422801,0.0167339816689491,-0.0009434038656763,0.9705821871757508,0.9852473735809326,0.2087564687372643,0.7886213229647117,0.7648588618844051,0.7901904467959255,0.7834758956419372,0.9999999999972775,0.9898016295907653
ntl_chip_Dabou_1027,learned,31.696678161621094,0.8543579578399658,0.026011349633336,0.0162632465362548,-0.0002537342079449,0.9364458918571472,0.9677438139915466,0.19799859815986076,0.7319404521058335,0.7466465007068255,0.7960924926940226,0.941764525121076,0.9999999999941181,0.9722171606850076
ntl_chip_Dadukou_1109,learned,24.010692596435547,0.726701557636261,0.0630180463194847,0.0402389913797378,-0.000815282750409,0.7775557041168213,0.8819674253463745,0.07038478272855424,0.49696577389442076,0.3861832145578541,0.4954861927193934,0.8128814458436224,0.9999999999794134,0.8860442750341453
ntl_chip_Datori_784,learned,24.02377700805664,0.6608116626739502,0.062923178076744,0.046511348336935,-0.0008889567106962,0.660504937171936,0.812916100025177,0.07060202899781667,0.375683512750859,0.3871072775408193,0.416843796859242,0.7959722632060657,0.9999999999685807,0.8166737634641299
ntl_chip_Denan_1346,learned,31.638896942138672,0.7559765577316284,0.0261849630624055,0.0203412771224975,-0.0016088373959064,0.5383365154266357,0.7350736260414124,0.19703923103434529,0.5508517029670815,0.7449554211789029,0.7449624154548581,0.6307497892679639,0.9999999999572742,0.7384714665927666
ntl_chip_Dhariwal_1577,learned,34.94390106201172,0.9108655452728271,0.0178977381438016,0.0130309602245688,-0.0017485599964857,0.9515251517295836,0.975774586200714,0.25191367519978974,0.8359528804083082,0.8256770363111637,0.8366186842662806,0.5986815393384127,0.9999999999955137,0.9802850547313683
ntl_chip_Dire_1898,learned,28.522388458251957,0.6893001198768616,0.0374868549406528,0.0292259007692337,-0.0001328576763626,0.6971296072006226,0.835014283657074,0.14529446322547948,0.4281216674639153,0.6348694786079134,0.6335675929562183,0.9695073441734489,0.9999999999719702,0.8388740948289827
ntl_chip_Divinopolis_963,learned,31.55684471130371,0.9236485362052916,0.0264334995299577,0.0141341527923941,-0.0003638858906924,0.9681382179260254,0.984037458896637,0.19567688157991367,0.8594822857193007,0.742534554691372,0.8227869289594746,0.9164832057220527,0.9999999999970512,0.9885861221372118
ntl_chip_Dom_Pedrito_942,learned,39.211570739746094,0.928712785243988,0.0109497318044304,0.0078265089541673,0.0003685714909806,0.9565605521202089,0.9781306385993958,0.32277168110641813,0.8688039514278064,0.8933540089011286,0.901871749395513,0.9154077963001768,0.9999999999959798,0.9826519978627573
ntl_chip_Douar_Ras_el_Ksar_1834,learned,40.22442626953125,0.9589673280715942,0.0097444141283631,0.006163359619677,0.0004369403759483,0.981754720211029,0.9909221529960632,0.33958856913468244,0.924492905949523,0.9050943912987631,0.9227242055344217,0.899716201086097,0.9999999999983115,0.9955026403859014
ntl_chip_El Crucero_8,learned,32.112937927246094,0.9024947881698608,0.0247941762208938,0.0154821071773767,-0.0005568243796005,0.9735655188560486,0.986751914024353,0.20490994302922433,0.8205449889628598,0.7585023637627218,0.8058863662095195,0.8722011807834793,0.9999999999975536,0.9913131246960708
ntl_chip_El_Seibo_1266,learned,34.476524353027344,0.9141407012939452,0.0188872069120407,0.0115302987396717,-0.0002811306912917,0.9485989809036256,0.97412770986557,0.24415361312689365,0.8419813970430116,0.8160391276167965,0.8554338785150619,0.9354766570774424,0.9999999999952429,0.9786305657938993
ntl_chip_Engandiyur_1606,learned,33.455936431884766,0.8752155303955078,0.0212421417236328,0.0155663453042507,-0.0010780612938106,0.9705836176872252,0.9852620363235474,0.22720834078731886,0.7703325843584194,0.793100913270018,0.8048301941572352,0.7525701721413895,0.9999999999972775,0.989816360111164
