image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Dadukou_1109,0.9034671783447266,1,0.10917466878890991,1,0.006907887756824507,1,0.0058349855244160045,1,-0.0007194871432146955,0,0.05144059658050537,1,0.027080416679382324,1
ntl_chip_Datori_784,0.9517230987548793,1,0.149105966091156,1,0.007286474108695998,1,0.005638845264911596,1,-0.0008167570631485229,0,0.08317911624908447,1,0.047934770584106445,1
ntl_chip_Denan_1346,0.866973876953125,1,0.08543902635574341,1,0.0027485601603985006,1,0.0021919924765824994,1,-0.001608399594260797,0,0.10200554132461553,1,0.059892475605010986,1
ntl_chip_Dhariwal_1577,1.8803215026855469,1,0.05370938777923584,1,0.0043259765952826,1,0.0027665076777339,1,-0.001627784295124,0,0.026265203952789196,1,0.012918949127197155,1
ntl_chip_Dire_1898,0.9256458282470739,1,0.11742764711380005,1,0.004215598106384298,1,0.003419581800699203,1,-9.963798220267501e-05,0,0.07194888591766357,1,0.04015868902206421,1
ntl_chip_Divinopolis_963,2.2655277252197266,1,0.04755491018295277,1,0.007877418771386199,1,0.0037292996421456007,1,-0.000355135918653032,0,0.021819829940795787,1,0.010604143142700195,1
ntl_chip_Dom_Pedrito_942,1.7277259826660156,1,0.02286309003829967,1,0.0024099340662361007,1,0.0010874858126043996,1,-0.00036336881021262055,0,0.021225452423095814,1,0.01019829511642456,1
ntl_chip_Douar_Ras_el_Ksar_1834,2.207721710205078,1,0.014798402786254883,1,0.0028202524408698013,1,0.0009814319200813996,1,-0.00041062918171516936,0,0.01208949089050304,1,0.005929172039031982,1
ntl_chip_El Crucero_8,2.1061363220214844,1,0.05229389667510986,1,0.006803683936595899,1,0.0036814194172621,1,-0.0005230541028139734,0,0.01649808883666981,1,0.008121132850646973,1
ntl_chip_El_Seibo_1266,2.2551803588867188,1,0.039977550506591686,1,0.0055994261056184005,1,0.0022959029302001,1,-0.00021862417634104458,0,0.03499513864517223,1,0.016313672065734752,1
ntl_chip_Engandiyur_1606,1.599924087524414,1,0.05719715356826782,1,0.004296397790312701,1,0.0027479752898216005,1,-0.001060399692505592,0,0.013102829456329235,1,0.006601095199584961,1
ntl_chip_Eqbaliyeh_1697,3.199396133422848,1,0.07464271783828735,1,0.011552112177014403,1,0.006276534870266897,1,-0.0009672328160376844,0,0.028060197830200195,1,0.013652801513671653,1
ntl_chip_Erzurum_377,3.3312149047851562,1,0.04999035596847523,1,0.008605357259511903,1,0.0033457577228546004,1,-4.997695941710844e-05,0,0.02612358331680298,1,0.012879371643066406,1
ntl_chip_Eydhafushi_1927,2.071887969970703,1,0.04015451669692993,1,0.004810944199562,1,0.0015408825129271005,1,-7.132357859518379e-05,0,0.1396998167037964,1,0.07045882940292358,1
ntl_chip_Fontaine-lEveque_762,2.3032417297363317,1,0.0672406554222108,1,0.008579578250646602,1,0.005151828750968,1,-0.0006433454982469855,0,0.030361711978912354,1,0.014761626720428356,1
ntl_chip_Forest_Hills_529,2.527667999267578,1,0.0515291690826416,1,0.007354004308581397,1,0.004239397123456001,1,-0.001020156407321331,0,0.012886822223663552,1,0.006371200084686168,1
ntl_chip_Fotadrevo_1891,1.1256141662597656,1,0.04090303182601929,1,0.0021243263036013014,1,0.0012844009324909002,1,-0.00011035077295667796,0,0.12128084897994995,1,0.0672450065612793,1
ntl_chip_Funadhoo_1926,2.4709320068359375,1,0.03559827804565441,1,0.005366761237382903,1,0.0015907445922494004,1,1.179901846626308e-05,1,0.14451533555984497,1,0.07020223140716553,1
ntl_chip_Gaoping_1131,2.62615966796875,1,0.03126007318496726,1,0.005958622321486501,1,0.0025564478710293995,1,-0.0005781478321295804,0,0.011371135711669922,1,0.005615949630737416,1
ntl_chip_Gayeri_765,0.7961444854736328,1,0.1543436050415039,1,0.0077897533774375916,1,0.006909221410751294,1,-0.0017938370001502,0,0.06658130884170532,1,0.0389636754989624,1
ntl_chip_Gisborne_34,1.9898719787597727,1,0.024619996547698975,1,0.0032113734632731004,1,0.0012821042910217996,1,-0.00028028102315142973,0,0.031458258628845215,1,0.015307843685150146,1
ntl_chip_Gosen_1773,2.582853317260742,1,0.040327906608581654,1,0.006617272272706098,1,0.0033414382487536014,1,-0.0005009723900001805,0,0.01731032133102417,1,0.008462965488433949,1
ntl_chip_Granadero_Baigorria_705,2.7953720092773438,1,0.030709505081176647,1,0.009470982477068901,1,0.0045759119093418,1,-0.0010828832164406694,0,0.011717140674591175,1,0.005710721015929954,1
ntl_chip_Greenville_584,2.4279956817626953,1,0.0578821897506715,1,0.0066346079111099,1,0.0037367939949034985,1,-0.0007582463440485295,0,0.019738614559173584,1,0.009765684604644664,1
ntl_chip_Guaraciaba_do_Norte_937,2.936981201171875,1,0.05937397480010986,1,0.009098416194319801,1,0.0037001194432378006,1,6.148693501017988e-06,1,0.06885671615600586,1,0.03214699029922474,1
ntl_chip_Guarei_879,2.6510753631591797,1,0.04712134599685658,1,0.008393591269850703,1,0.0033857151865958994,1,-0.00017353003568122756,0,0.0401323437690736,1,0.01933467388153065,1
ntl_chip_Gueoul_280,1.296926498413086,1,0.0768706202507019,1,0.004294462502002699,1,0.002526808530092201,1,-8.213581168092787e-05,0,0.03943437337875366,1,0.01978653669357322,1
ntl_chip_Gurh_1574,1.5121002197265625,1,0.06331747770309448,1,0.0041471999138593015,1,0.0028044991195202013,1,-0.0010426991793792393,0,0.022124409675598145,1,0.011044740676879772,1
